f1,f2,f3,f4,label
6.40,2.96,4.00,1.36,versicolor
5.98,2.80,3.98,1.36,versicolor
7.07,2.83,5.39,1.79,virginica
4.90,3.10,1.21,0.50,setosa
6.97,3.09,5.26,2.05,virginica
5.72,3.14,3.96,1.21,versicolor
5.36,3.68,1.34,0.40,setosa
6.57,2.91,5.69,1.98,virginica
5.49,2.67,4.65,1.49,versicolor
6.06,3.25,3.74,1.48,versicolor
4.43,3.52,1.48,0.31,setosa
6.26,3.01,4.00,1.53,versicolor
4.43,3.50,1.14,0.10,setosa
6.53,3.40,5.08,2.05,virginica
5.69,2.57,4.32,1.32,versicolor
6.11,2.60,3.91,1.29,versicolor
5.13,3.61,1.65,0.38,setosa
5.17,3.77,1.85,0.04,setosa
5.95,2.80,4.40,1.60,versicolor
4.90,3.58,1.39,0.11,setosa
5.42,3.47,1.50,0.53,setosa
6.38,2.95,4.11,1.27,versicolor
5.06,3.48,1.39,0.44,setosa
7.04,2.63,5.65,1.72,virginica
5.44,3.28,1.44,0.25,setosa
4.85,3.34,1.61,0.23,setosa
4.56,3.37,1.50,0.01,setosa
5.62,2.95,5.42,2.12,virginica
5.40,3.27,1.82,0.30,setosa
6.55,3.25,5.80,1.54,virginica
6.08,2.96,4.61,1.17,versicolor
4.81,3.32,0.95,0.53,setosa
6.31,2.72,5.18,1.26,versicolor
6.55,2.53,3.96,1.23,versicolor
5.87,3.03,5.57,2.02,virginica
6.60,3.36,5.68,1.76,virginica
5.94,3.09,4.63,2.04,virginica
5.93,2.36,3.91,1.37,versicolor
4.83,3.23,1.64,0.07,setosa
6.48,2.93,5.32,2.02,virginica
6.50,2.72,5.10,2.01,virginica
5.28,3.54,1.83,0.06,setosa
5.75,2.73,4.26,1.24,versicolor
6.37,3.07,5.53,1.91,virginica
6.75,3.35,5.49,2.40,virginica
4.39,3.55,1.25,0.39,setosa
5.85,2.76,4.17,1.06,versicolor
4.53,3.71,1.68,0.18,setosa
7.18,3.03,5.37,1.92,virginica
5.58,2.77,4.44,1.22,versicolor
6.01,3.13,5.62,1.80,virginica
4.71,3.28,1.56,0.34,setosa
6.72,3.22,5.40,1.95,virginica
6.09,3.01,4.53,1.50,versicolor
6.11,3.04,3.62,1.48,versicolor
4.64,3.25,1.62,0.15,setosa
6.33,2.75,3.91,1.20,versicolor
5.18,2.76,4.74,1.39,versicolor
5.36,2.96,4.51,0.95,versicolor
5.52,3.35,1.98,0.24,setosa
4.92,2.87,4.63,1.66,versicolor
4.83,3.80,1.18,-0.05,setosa
6.97,2.88,5.82,1.83,virginica
5.14,3.35,1.68,0.57,setosa
6.93,3.01,5.50,2.05,virginica
4.56,3.67,1.22,0.35,setosa
4.85,3.46,1.27,0.25,setosa
5.86,2.69,4.51,1.11,versicolor
6.60,3.03,5.69,2.17,virginica
5.26,3.06,1.31,0.53,setosa
5.83,2.95,4.26,1.51,versicolor
6.54,2.70,4.85,2.22,virginica
6.09,2.80,5.36,2.02,virginica
6.92,2.80,5.55,1.88,virginica
6.40,2.95,4.40,1.34,versicolor
6.36,2.89,4.53,1.46,versicolor
5.04,3.72,1.60,0.09,setosa
6.55,2.89,5.25,2.34,virginica
6.57,3.26,5.62,2.24,virginica
6.31,2.83,5.56,1.98,virginica
4.83,3.24,1.60,0.44,setosa
5.37,2.72,4.77,1.68,versicolor
5.30,2.57,4.58,1.11,versicolor
4.72,3.53,1.01,0.24,setosa
6.76,3.10,5.76,2.07,virginica
6.52,3.05,5.64,1.89,virginica
5.53,2.96,3.97,1.18,versicolor
6.24,2.96,3.88,1.27,versicolor
5.54,3.38,1.21,0.27,setosa
6.73,3.26,5.31,2.16,virginica
6.50,3.20,5.77,1.96,virginica
6.94,3.13,5.72,1.84,virginica
5.35,3.45,1.03,0.42,setosa
4.34,3.54,1.25,0.07,setosa
6.03,2.62,4.17,1.33,versicolor
5.13,2.89,1.54,0.12,setosa
4.74,3.16,1.31,0.16,setosa
5.12,3.28,1.39,0.08,setosa
4.70,3.10,2.28,0.31,setosa
6.36,2.83,5.66,2.26,virginica
5.27,4.00,0.93,0.43,setosa
4.42,3.21,1.35,0.10,setosa
6.32,2.83,4.29,1.34,versicolor
4.97,3.02,1.46,0.10,setosa
4.98,3.58,1.88,0.05,setosa
4.92,2.62,4.07,1.26,versicolor
5.89,3.08,4.98,2.13,virginica
4.61,3.75,1.05,0.29,setosa
4.92,3.42,1.06,0.13,setosa
5.87,2.71,4.28,1.48,versicolor
6.22,3.13,5.57,2.38,virginica
6.41,2.70,5.44,2.37,virginica
5.58,2.88,4.33,1.38,versicolor
7.05,2.94,5.60,2.01,virginica
6.48,2.94,5.04,1.70,virginica
4.99,3.58,1.32,0.23,setosa
6.88,3.06,5.47,1.72,virginica
6.09,3.01,4.38,0.90,versicolor
6.27,3.07,5.89,2.09,virginica
7.05,2.95,4.92,1.98,virginica
4.74,3.33,1.43,0.38,setosa
4.79,3.35,0.95,0.04,setosa
5.08,3.40,1.09,0.26,setosa
5.89,2.63,4.90,0.97,versicolor
4.35,2.94,1.02,0.30,setosa
4.98,3.48,1.20,0.13,setosa
6.84,2.82,5.63,1.93,virginica
6.50,3.06,4.15,1.23,versicolor
6.18,2.98,4.94,1.93,virginica
6.47,2.51,5.89,1.80,virginica
6.36,3.61,4.50,1.31,versicolor
5.27,3.02,4.40,1.39,versicolor
7.23,2.91,5.52,1.83,virginica
5.71,2.97,4.84,1.21,versicolor
5.62,3.07,4.27,1.62,versicolor
5.14,3.42,1.80,0.11,setosa
4.94,3.49,1.75,0.29,setosa
6.75,3.01,6.09,2.01,virginica
4.83,3.55,1.70,0.15,setosa
6.76,3.16,6.02,1.81,virginica
4.88,3.61,1.50,0.36,setosa
6.30,2.48,4.47,1.19,versicolor
6.03,2.82,5.66,1.87,virginica
5.50,3.76,1.51,0.21,setosa
5.38,3.29,1.48,0.11,setosa
4.98,3.18,1.47,0.26,setosa
5.64,2.47,4.05,1.39,versicolor
4.20,3.55,1.15,0.06,setosa
6.35,2.90,4.23,1.10,versicolor
4.74,3.50,1.49,0.30,setosa
4.97,3.30,1.36,0.50,setosa
5.15,3.09,1.78,0.49,setosa
4.83,3.03,1.10,-0.04,setosa
6.73,2.92,5.57,1.81,virginica
4.67,3.26,1.36,0.24,setosa
5.67,2.73,4.18,1.29,versicolor
6.24,3.27,5.13,2.13,virginica
6.40,2.92,5.60,2.10,virginica
6.37,3.05,5.67,2.25,virginica
4.48,3.69,1.58,0.21,setosa
6.10,2.50,4.19,1.33,versicolor
5.33,3.65,1.79,0.28,setosa
6.09,2.93,5.45,1.96,virginica
7.17,2.86,5.82,2.18,virginica
5.12,3.52,1.32,0.06,setosa
6.23,3.16,5.73,2.37,virginica
7.43,3.31,5.51,1.93,virginica
5.25,3.25,1.52,0.14,setosa
6.19,2.99,4.39,1.69,versicolor
7.17,2.81,5.38,1.81,virginica
4.95,3.02,1.45,0.27,setosa
6.04,2.87,5.28,2.28,virginica
5.04,3.21,1.49,0.38,setosa
5.57,2.81,4.08,1.53,versicolor
5.29,3.32,1.24,-0.09,setosa
6.27,3.05,4.18,1.24,versicolor
6.82,2.76,5.89,2.21,virginica
5.71,3.33,1.32,0.31,setosa
4.05,3.26,1.71,-0.05,setosa
4.33,3.48,1.60,0.15,setosa
4.96,3.08,1.94,-0.18,setosa
5.94,3.09,4.45,1.51,versicolor
5.28,2.76,4.26,1.08,versicolor
6.56,3.19,6.18,2.20,virginica
6.95,3.05,5.66,1.91,virginica
6.67,3.20,5.07,1.67,virginica
6.57,2.88,5.49,2.24,virginica
5.71,2.72,4.55,1.39,versicolor
6.35,2.63,4.42,1.73,versicolor
6.58,3.01,5.66,1.85,virginica
6.44,2.99,5.80,2.14,virginica
6.10,2.96,5.40,2.38,virginica
5.41,3.34,1.41,0.27,setosa
6.94,3.12,4.98,2.11,virginica
5.88,2.76,4.11,1.04,versicolor
6.06,2.83,4.62,1.46,versicolor
5.71,2.49,3.99,1.27,versicolor
5.42,2.69,4.46,1.08,versicolor
5.98,2.99,4.45,1.37,versicolor
6.13,2.74,4.30,1.20,versicolor
4.93,3.22,2.13,0.34,setosa
5.82,2.87,5.47,1.92,virginica
6.17,2.83,4.07,1.25,versicolor
5.65,2.85,4.18,1.38,versicolor
5.53,3.02,3.83,0.96,versicolor
6.23,3.08,4.11,1.14,versicolor
6.78,2.96,5.56,1.89,virginica
4.88,3.12,1.54,0.23,setosa
5.39,2.68,4.48,1.30,versicolor
5.09,3.39,1.55,0.26,setosa
6.35,2.88,4.12,1.42,versicolor
7.11,2.88,5.65,2.27,virginica
5.37,3.61,1.97,0.20,setosa
5.85,2.59,3.96,1.32,versicolor
6.45,3.19,6.02,1.89,virginica
6.46,2.78,4.61,1.18,versicolor
6.53,2.95,4.18,1.41,versicolor
4.90,3.63,1.49,-0.15,setosa
5.88,2.93,4.07,1.58,versicolor
5.83,2.55,3.93,1.68,versicolor
6.50,3.29,4.76,2.13,virginica
5.03,3.43,1.45,0.17,setosa
6.50,2.65,4.54,1.32,versicolor
6.88,2.88,5.06,2.41,virginica
5.62,2.73,4.61,1.27,versicolor
6.92,3.05,5.50,2.02,virginica
6.10,3.23,4.28,1.40,versicolor
6.79,2.94,6.06,1.82,virginica
4.84,3.73,1.76,0.39,setosa
5.28,3.70,1.43,0.38,setosa
6.25,2.85,5.55,2.12,virginica
4.87,3.20,1.84,0.25,setosa
5.72,2.81,4.16,0.88,versicolor
5.30,3.54,1.46,-0.06,setosa
4.85,3.55,1.38,0.21,setosa
5.16,3.23,1.01,-0.01,setosa
6.69,3.26,5.56,1.82,virginica
5.01,3.50,1.34,-0.13,setosa
6.00,2.83,4.53,1.67,versicolor
5.77,2.87,4.11,0.95,versicolor
5.20,3.59,2.14,0.48,setosa
5.05,3.09,1.87,0.51,setosa
6.38,2.97,5.56,2.01,virginica
6.04,2.63,4.47,1.14,versicolor
6.24,3.17,5.77,2.47,virginica
5.03,3.20,1.45,0.23,setosa
6.21,2.65,4.19,1.13,versicolor
6.57,2.99,5.44,2.00,virginica
6.57,3.12,5.77,2.31,virginica
6.37,3.01,5.39,1.59,virginica
6.17,2.80,4.78,1.41,versicolor
6.64,3.08,5.49,1.99,virginica
5.61,2.67,4.11,1.30,versicolor
5.74,2.71,3.77,1.32,versicolor
4.63,3.24,1.86,0.63,setosa
6.74,2.95,4.96,1.90,virginica
5.14,3.54,1.31,0.31,setosa
5.63,3.00,3.79,1.15,versicolor
6.65,3.13,5.66,2.00,virginica
6.94,2.78,5.59,2.00,virginica
6.54,2.84,5.26,2.07,virginica
4.44,3.19,1.39,0.71,setosa
5.23,3.55,1.97,0.06,setosa
6.66,3.24,4.84,2.36,virginica
6.57,2.70,4.23,1.32,versicolor
6.55,2.53,4.07,1.24,versicolor
5.82,2.83,4.55,1.24,versicolor
5.77,3.04,5.84,1.84,virginica
5.71,2.84,4.32,1.49,versicolor
6.60,3.14,4.68,1.13,versicolor
5.35,3.38,1.44,0.10,setosa
5.16,3.72,1.52,0.41,setosa
4.45,3.13,1.35,0.16,setosa
5.99,3.54,2.05,0.09,setosa
6.92,2.85,5.67,1.99,virginica
7.16,2.90,5.93,2.04,virginica
7.06,2.76,5.23,2.13,virginica
6.47,3.16,5.25,1.80,virginica
6.29,3.00,4.74,2.08,virginica
5.44,3.01,4.48,1.43,versicolor
6.09,3.18,4.46,1.29,versicolor
6.13,2.97,4.56,1.21,versicolor
5.41,3.32,1.27,0.27,setosa
5.84,2.77,4.30,1.32,versicolor
6.32,3.12,5.66,1.87,virginica
5.06,3.41,1.33,-0.41,setosa
5.97,2.67,4.28,1.41,versicolor
5.93,2.82,4.50,1.38,versicolor
5.52,2.53,4.21,1.57,versicolor
4.79,3.44,1.50,0.07,setosa
6.50,3.02,5.25,1.96,virginica
5.39,3.61,1.83,0.16,setosa
5.46,2.54,4.25,1.16,versicolor
5.51,2.58,4.12,1.12,versicolor
5.12,3.47,2.11,-0.00,setosa
5.63,2.82,3.64,1.22,versicolor
6.50,3.04,5.52,1.90,virginica
6.24,2.59,4.22,1.49,versicolor
6.24,3.09,5.13,2.09,virginica
5.00,3.33,1.28,0.04,setosa
6.18,2.64,4.08,1.04,versicolor
6.52,2.98,5.45,2.03,virginica
5.52,3.24,1.62,0.21,setosa
5.19,3.34,1.74,0.82,setosa
6.76,2.57,5.29,2.13,virginica
6.04,2.76,4.34,1.44,versicolor
6.75,3.21,5.15,1.82,virginica
5.08,3.49,1.29,0.39,setosa
6.73,2.70,5.63,1.87,virginica
6.31,2.90,4.27,1.03,versicolor
6.65,3.28,5.37,2.00,virginica
6.16,2.93,6.19,1.89,virginica
7.19,2.89,5.33,1.75,virginica
4.90,3.38,1.37,0.40,setosa
4.60,3.48,1.26,0.12,setosa
4.58,3.36,0.84,-0.06,setosa
4.72,3.33,1.27,0.28,setosa
4.99,3.55,2.05,0.04,setosa
7.09,2.97,5.71,1.62,virginica
6.90,2.87,5.54,1.57,virginica
5.23,3.19,1.55,0.06,setosa
7.00,3.09,5.35,2.09,virginica
6.14,2.77,5.65,1.82,virginica
5.61,2.57,3.85,1.17,versicolor
4.76,3.58,1.43,0.19,setosa
5.35,3.01,4.59,1.24,versicolor
5.29,3.39,2.02,-0.11,setosa
6.56,2.87,5.88,2.13,virginica
6.86,3.18,5.34,1.94,virginica
5.89,3.36,1.98,0.13,setosa
6.49,3.17,5.30,1.93,virginica
6.11,2.77,4.16,1.21,versicolor
5.16,3.15,1.15,0.58,setosa
4.95,3.58,1.79,0.36,setosa
5.98,2.82,4.01,1.19,versicolor
4.61,3.38,1.53,0.13,setosa
6.46,3.05,5.32,2.06,virginica
6.19,2.99,5.64,1.67,virginica
5.99,2.52,4.71,1.39,versicolor
6.06,3.08,5.14,2.15,virginica
6.58,3.03,5.72,1.98,virginica
5.96,2.69,4.79,1.49,versicolor
4.78,3.80,1.73,0.03,setosa
7.22,3.25,5.37,2.08,virginica
6.61,3.15,4.53,1.63,versicolor
6.30,2.96,5.44,1.93,virginica
4.89,3.30,1.53,-0.13,setosa
6.34,2.85,6.23,2.08,virginica
6.43,3.32,5.66,2.14,virginica
6.37,2.53,4.83,1.57,versicolor
5.10,3.37,1.80,0.47,setosa
4.58,3.10,1.57,0.33,setosa
5.20,3.49,1.96,0.34,setosa
6.42,2.74,5.51,1.82,virginica
5.55,3.37,1.08,0.45,setosa
5.14,3.13,1.61,0.22,setosa
5.91,2.91,4.09,1.21,versicolor
6.14,3.15,6.01,2.03,virginica
4.80,2.97,1.42,0.39,setosa
5.93,2.86,5.55,2.22,virginica
6.38,2.83,5.88,1.97,virginica
6.29,2.94,5.72,2.10,virginica
7.10,3.28,5.81,2.23,virginica
6.40,2.67,4.96,1.12,versicolor
5.41,3.47,1.05,0.24,setosa
5.20,3.25,1.63,0.08,setosa
5.27,3.17,1.35,0.24,setosa
5.85,3.09,3.61,1.12,versicolor
6.82,2.58,4.37,1.46,versicolor
6.68,2.94,5.40,2.05,virginica
5.52,3.60,1.47,0.35,setosa
5.29,3.58,1.36,0.52,setosa
6.16,3.25,5.52,1.83,virginica
6.72,3.08,5.83,2.12,virginica
5.30,3.33,1.16,-0.03,setosa
5.79,2.86,3.72,1.43,versicolor
6.69,3.11,4.28,1.46,versicolor
5.97,2.73,4.50,1.22,versicolor
5.65,3.80,1.90,0.38,setosa
5.68,3.12,4.70,1.01,versicolor
6.72,2.81,5.54,2.09,virginica
5.16,3.45,1.59,0.32,setosa
6.78,2.88,6.28,2.06,virginica
6.45,3.38,5.38,1.98,virginica
6.68,2.90,5.24,2.18,virginica
6.93,3.14,5.26,2.33,virginica
6.62,2.77,5.84,1.92,virginica
5.92,2.61,4.37,1.24,versicolor
